08/04/2020 05:26:32 - INFO - __main__ -   SentenceVAE(
  (embedding): Embedding(9877, 300)
  (embedding_dropout): Dropout(p=0.5, inplace=False)
  (encoder_rnn): LSTM(300, 300, num_layers=2, batch_first=True)
  (decoder_rnn): LSTM(300, 300, num_layers=2, batch_first=True)
  (hidden2mean): Linear(in_features=600, out_features=16, bias=True)
  (hidden2logv): Linear(in_features=600, out_features=16, bias=True)
  (latent2hidden): Linear(in_features=16, out_features=600, bias=True)
  (outputs2vocab): Linear(in_features=300, out_features=9877, bias=True)
)
08/04/2020 05:26:32 - INFO - __main__ -   Number of GPU: 1
08/04/2020 05:30:38 - INFO - __main__ -   TRAIN Batch 0600/1314, Loss    5.0381, Recon-Loss    5.0381, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:30:42 - INFO - __main__ -   TRAIN Batch 0700/1314, Loss    4.8507, Recon-Loss    4.8507, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:30:46 - INFO - __main__ -   TRAIN Batch 0800/1314, Loss    4.7491, Recon-Loss    4.7491, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:30:49 - INFO - __main__ -   TRAIN Batch 0900/1314, Loss    4.7401, Recon-Loss    4.7401, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:30:53 - INFO - __main__ -   TRAIN Batch 1000/1314, Loss    4.8607, Recon-Loss    4.8607, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:30:57 - INFO - __main__ -   TRAIN Batch 1100/1314, Loss    4.7888, Recon-Loss    4.7888, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:31:00 - INFO - __main__ -   TRAIN Batch 1200/1314, Loss    4.5703, Recon-Loss    4.5703, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:31:04 - INFO - __main__ -   TRAIN Batch 1300/1314, Loss    4.9028, Recon-Loss    4.9028, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:31:04 - INFO - __main__ -   TRAIN Batch 1314/1314, Loss    4.4935, Recon-Loss    4.4935, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:31:04 - INFO - __main__ -   TRAIN Epoch 04/8, Mean Negative ELBO    4.6819, PPL: 107.9728
08/04/2020 05:31:07 - INFO - __main__ -   VALID Batch 0000/105, Loss    5.6387, Recon-Loss    5.6387, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:31:08 - INFO - __main__ -   VALID Batch 0100/105, Loss    5.3743, Recon-Loss    5.3742, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:31:08 - INFO - __main__ -   VALID Batch 0105/105, Loss    4.3559, Recon-Loss    4.3559, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:31:08 - INFO - __main__ -   VALID Epoch 04/8, Mean Negative ELBO    4.8072, PPL: 122.3931
08/04/2020 05:31:10 - INFO - __main__ -   TRAIN Batch 0000/1314, Loss    4.4912, Recon-Loss    4.4912, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:31:14 - INFO - __main__ -   TRAIN Batch 0100/1314, Loss    4.2817, Recon-Loss    4.2817, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:31:17 - INFO - __main__ -   TRAIN Batch 0200/1314, Loss    4.8767, Recon-Loss    4.8767, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:31:21 - INFO - __main__ -   TRAIN Batch 0300/1314, Loss    4.2726, Recon-Loss    4.2726, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:31:25 - INFO - __main__ -   TRAIN Batch 0400/1314, Loss    4.6666, Recon-Loss    4.6666, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:31:29 - INFO - __main__ -   TRAIN Batch 0500/1314, Loss    4.5046, Recon-Loss    4.5046, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:31:32 - INFO - __main__ -   TRAIN Batch 0600/1314, Loss    4.8175, Recon-Loss    4.8175, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:31:36 - INFO - __main__ -   TRAIN Batch 0700/1314, Loss    4.5584, Recon-Loss    4.5584, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:31:40 - INFO - __main__ -   TRAIN Batch 0800/1314, Loss    4.4056, Recon-Loss    4.4056, KL-Loss    0.0000, KL-Weight  1.000
